Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bangladesh,BGD,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.14464873,7.859446035,8.164597746,7.174948668,5.668788528,5.872764205,6.72784119,6.278683267,5.597430602,..
Bangladesh,BGD,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,3.44665935,3.261160132,3.892867435,5.815816648,4.56213638,4.586360705,5.875935815,6.471260103,7.860966092,6.764354686,7.14464873,7.859446035,8.164597746,7.174948668,5.668788528,5.872764205,6.72784119,6.278683267,5.597430602,..
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.269999981,3.585999966,3.963999987,4.320000172,4.293000221,4.25,3.59100008,3.888000011,4.267000198,5,3.378999949,3.704999924,4.054999828,4.426000118,4.394999981,4.377999783,4.349999905,4.372000217,4.281000137,4.190000057
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.269999981,..,..,4.320000172,..,4.25,3.590600014,..,..,5,3.378900051,..,..,4.426199913,..,..,4.349999905,4.372300148,..,..
Bangladesh,BGD,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,28.3164143,26.92981402,29.32794656,29.46909674,29.02709726,25.51766608,26.57518582,25.46627712,23.71971165,22.99902285,21.57065839,19.64852404,19.74463652,19.64827074,17.89941211,17.47788966,16.57923581,18.10618559,18.19206855,..
Barbados,BRB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,-1.337306073,2.263635696,0.904416601,1.120745898,5.819564531,6.677181213,2.409712748,8.803307295,1.447572494,-1.905715132,3.689701162,3.644262848,-0.955920278,2.865278367,0.578574284,-1.549895413,0.151147082,3.256897523,3.633081939,..
Barbados,BRB,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,-1.337306073,2.263635696,0.904416601,1.120745898,5.819564531,6.677181213,2.409712748,8.803307295,1.447572494,-1.905715132,3.689701162,3.644262848,-0.955920278,2.865278367,0.578574284,-1.549895413,0.151147082,3.256897523,3.633081939,..
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,11.35000038,9.720000267,9.76099968,9.385000229,10.33100033
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,11.35000038,9.720000267,..,..,..
Barbados,BRB,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
